Id,Colour,Country
1,Red,USA
2,Blue,UK
3,Green,Canada
4,Blue,USA
5,Blue,USA
6,Red,Canada
7,Green,UK
8,Green,UK
9,Red,Canada
10,Red,Canada
11,Red,USA
12,Blue,UK
13,Green,Canada
14,Blue,USA
15,Blue,USA
16,Red,Canada
17,Green,UK
18,Green,UK
19,Red,Canada
20,Red,Canada
21,Red,USA
22,Blue,UK
23,Green,Canada
24,Blue,USA
25,Blue,USA
26,Red,Canada
27,Green,UK
28,Green,UK
29,Red,Canada
30,Red,Canada
31,Red,USA
32,Blue,UK
33,Green,Canada
34,Blue,USA
35,Blue,USA
36,Red,Canada
37,Green,UK
38,Green,UK
39,Red,Canada
40,Red,Canada
41,Red,USA
42,Blue,UK
43,Green,Canada
44,Blue,USA
45,Blue,USA
46,Red,Canada
47,Green,UK
48,Green,UK
49,Red,Canada
50,Red,Canada
51,Red,USA
52,Blue,UK
53,Green,Canada
54,Blue,USA
55,Blue,USA
56,Red,Canada
57,Green,UK
58,Green,UK
59,Red,Canada
60,Red,Canada
61,Red,USA
62,Blue,UK
63,Green,Canada
64,Blue,USA
65,Blue,USA
66,Red,Canada
67,Green,UK
68,Green,UK
69,Red,Canada
70,Red,Canada
71,Red,USA
72,Blue,UK
73,Green,Canada
74,Blue,USA
75,Blue,USA
76,Red,Canada
77,Green,UK
78,Green,UK
79,Red,Canada
80,Red,Canada
81,Red,USA
82,Blue,UK
83,Green,Canada
84,Blue,USA
85,Blue,USA
86,Red,Canada
87,Green,UK
88,Green,UK
89,Red,Canada
90,Red,Canada
91,Red,USA
92,Blue,UK
93,Green,Canada
94,Blue,USA
95,Blue,USA
96,Red,Canada
97,Green,UK
98,Green,UK
99,Red,Canada
100,Red,Canada
101,Red,USA
102,Blue,UK
103,Green,Canada
104,Blue,USA
105,Blue,USA
106,Red,Canada
107,Green,UK
108,Green,UK
109,Red,Canada
110,Red,Canada
111,Red,USA
112,Blue,UK
113,Green,Canada
114,Blue,USA
115,Blue,USA
116,Red,Canada
117,Green,UK
118,Green,UK
119,Red,Canada
120,Red,Canada
121,Red,USA
122,Blue,UK
123,Green,Canada
124,Blue,USA
125,Blue,USA
126,Red,Canada
127,Green,UK
128,Green,UK
129,Red,Canada
130,Red,Canada
131,Red,USA
132,Blue,UK
133,Green,Canada
134,Blue,USA
135,Blue,USA
136,Red,Canada
137,Green,UK
138,Green,UK
139,Red,Canada
140,Red,Canada
141,Red,USA
142,Blue,UK
143,Green,Canada
144,Blue,USA
145,Blue,USA
146,Red,Canada
147,Green,UK
148,Green,UK
149,Red,Canada
150,Red,Canada
151,Red,USA
152,Blue,UK
153,Green,Canada
154,Blue,USA
155,Blue,USA
156,Red,Canada
157,Green,UK
158,Green,UK
159,Red,Canada
160,Red,Canada
161,Red,USA
162,Blue,UK
163,Green,Canada
164,Blue,USA
165,Blue,USA
166,Red,Canada
167,Green,UK
168,Green,UK
169,Red,Canada
170,Red,Canada
171,Red,USA
172,Blue,UK
173,Green,Canada
174,Blue,USA
175,Blue,USA
176,Red,Canada
177,Green,UK
178,Green,UK
179,Red,Canada
180,Red,Canada
181,Red,USA
182,Blue,UK
183,Green,Canada
184,Blue,USA
185,Blue,USA
186,Red,Canada
187,Green,UK
188,Green,UK
189,Red,Canada
190,Red,Canada
191,Red,USA
192,Blue,UK
193,Green,Canada
194,Blue,USA
195,Blue,USA
196,Red,Canada
197,Green,UK
198,Green,UK
199,Red,Canada
200,Red,Canada
201,Red,USA
202,Blue,UK
203,Green,Canada
204,Blue,USA
205,Blue,USA
206,Red,Canada
207,Green,UK
208,Green,UK
209,Red,Canada
210,Red,Canada
211,Red,USA
212,Blue,UK
213,Green,Canada
214,Blue,USA
215,Blue,USA
216,Red,Canada
217,Green,UK
218,Green,UK
219,Red,Canada
220,Red,Canada
221,Red,USA
222,Blue,UK
223,Green,Canada
224,Blue,USA
225,Blue,USA
226,Red,Canada
227,Green,UK
228,Green,UK
229,Red,Canada
230,Red,Canada
231,Red,USA
232,Blue,UK
233,Green,Canada
234,Blue,USA
235,Blue,USA
236,Red,Canada
237,Green,UK
238,Green,UK
239,Red,Canada
240,Red,Canada
241,Red,USA
242,Blue,UK
243,Green,Canada
244,Blue,USA
245,Blue,USA
246,Red,Canada
247,Green,UK
248,Green,UK
249,Red,Canada
250,Red,Canada
251,Red,USA
252,Blue,UK
253,Green,Canada
254,Blue,USA
255,Blue,USA
256,Red,Canada
257,Green,UK
258,Green,UK
259,Red,Canada
260,Red,Canada
261,Red,USA
262,Blue,UK
263,Green,Canada
264,Blue,USA
265,Blue,USA
266,Red,Canada
267,Green,UK
268,Green,UK
269,Red,Canada
270,Red,Canada
271,Red,USA
272,Blue,UK
273,Green,Canada
274,Blue,USA
275,Blue,USA
276,Red,Canada
277,Green,UK
278,Green,UK
279,Red,Canada
280,Red,Canada
281,Red,USA
282,Blue,UK
283,Green,Canada
284,Blue,USA
285,Blue,USA
286,Red,Canada
287,Green,UK
288,Green,UK
289,Red,Canada
290,Red,Canada
291,Red,USA
292,Blue,UK
293,Green,Canada
294,Blue,USA
295,Blue,USA
296,Red,Canada
297,Green,UK
298,Green,UK
299,Red,Canada
300,Red,Canada
